id	title	role	pattern_family	anatomy	visual_mechanism	evidence_assets	tonal_role	cadence_function	confidence	uncertainty
buchagentur-11	Branding-Psychologie	theory	P-7d diagram theory	Theory body; three-circle Venn; labeled overlap; supporting explanation	Three-factor Venn diagram	Conceptual relationship diagram	Light moderate	Generalizes case 2 through a memorable model	high	Diagram labels are visually observed
buchagentur-12	Fallstudie 3: WETIQ	case_study	P-6c embedded evidence	Case narrative; customer imagery; book cover; outcome sections; quote	Embedded customer and product proof	Named client; portrait; book cover; quote	Light dense	Third proof peak	high	Some small outcome details are not transcribed
buchagentur-13	Die Freiheits-Kaskade	mechanism	P-8 numbered stages	Six dark teal stage cards; short descriptions; strict grid	Six-stage cascade	Ordered business progression	Light moderate	Turns case evidence into a repeatable path	high	Causal claims are source claims, not independently validated
buchagentur-14	Bonus: Wie dich KI zerstört	theory	P-7b chart-driven theory	Long-form provocation; comparison chart; editorial annotations	Experts-book versus AI-content comparison	Comparative chart	Light dense	Adds urgency and category threat	high	None
buchagentur-15	Zusammenfassung und Fazit	summary	P-9 chart summary	Summary argument; market-leader comparison chart; QR action	Comparison chart plus summary	Chart; QR; URL	Light dense	Consolidates the argument and introduces action	high	None
buchagentur-16	Einzigartiger Mechanismus	mechanism	P-8 numbered stages	Five numbered steps; editorial body; client imagery; asymmetric composition	Five-step mechanism	Process stages; supporting portrait	Light dense	Explains delivery after strategic conclusion	high	None
buchagentur-17	Der Wendepunkt	objections	P-9 objection conversion	Four numbered objections; short rebuttals; coral CTA panel and QR	Objection stack plus CTA	QR; URL; response arguments	Light dense	Removes blockers and increases conversion pressure	high	None
buchagentur-18	So läuft die Zusammenarbeit	collaboration	P-10 step cards	Six collaboration steps; numbered cards; QR and action line	Six-step delivery path	Process commitments; QR	Light moderate	Makes engagement concrete	high	None
buchagentur-19	Über 500 Projekte	trust_proof	P-11 reviews and rating	Trustpilot rating; multiple review cards; proof headline	Review wall	Trustpilot; customer reviews	Light moderate	Final social proof before CTA	high	Review text is too small for full transcription
buchagentur-20	Buchagentur CTA	cta	P-12 solid close	Full dark teal field; short white promise; coral URL box	High-contrast URL close	Brand mark; URL	Dark light	Final conversion stop	high	None
alexander-01	Zahnarztpraxen Recruiting Report	cover	P-1 full-bleed cover	Full-bleed dental-practice image; report promise; case-study panel; checks; brand mark	Industry scene plus offer overlay	Contextual practice photo; report promise	Photo hero	Hook and audience identification	high	Exact cover headline is condensed in this atlas
alexander-02	Ausblick: Der Wahrheitsschock 2026	outlook	P-2 editorial outlook	Long-form opening; audience framing; restrained rules; generous margins	Text-led opening essay	Argument only	Light dense	Frames the labor-market stakes	high	None
alexander-03	Über Boss Recruiting	about	P-3 authority panel	Company overview; founder panel; portrait; rating; credibility details	Founder bio plus trust strip	Founder portrait; Trustpilot rating; company proof	Light dense	Earns authority before diagnosis	high	Some credential microcopy is too small to transcribe
alexander-04	Zahnarztpraxen 2026	status_quo	P-4 symptom diagnosis	Problem headline; icon-supported symptom list; short explanations	Icon-led recognition list	Operational symptoms; small icons	Light moderate	Creates immediate audience recognition	high	Icon provenance is unknown
alexander-05	Die 5 größten Irrglauben	false_beliefs	P-5 belief cards	Five navy cards; belief labels; rebuttal text; regular grid	Five-card misconception grid	Argument examples	Light dense	Challenges the reader's current explanation	high	None
alexander-06	Die unsichtbare Gewinnlawine	theory	P-7b chart-driven theory	Argument body; salary-growth visualization; annotations; conclusion	Compounding-cost chart	Quantitative source claims and chart	Light dense	Raises the economic magnitude of inaction	high	Underlying data is not independently sourced in the PDF
alexander-07	Bonus: Die Gewinn-Kaskade	mechanism	P-8 numbered stages	Five navy stage cards; ordered labels; compact explanations	Five-stage cascade	Ordered causal claims	Light moderate	Converts cost logic into a memorable chain	high	Causality is a source claim
alexander-08	Fallstudie 1: Zahnarztpraxis Wendelstein	case_study	P-6a right portrait rail	Case marker; claim headline; right portrait rail; four solution steps; four outcome stats	Portrait evidence rail plus result strip	Named practice; portrait; URL; metrics	Light very dense	First proof peak	high	None
alexander-09	Die Wahrnehmungsdominanz 2026	theory	P-7a numbered insights	Seven numbered insights; compact bodies; navy card rhythm	Seven-part perception model	Conceptual argument	Light dense	Generalizes case 1 into a market-perception principle	high	None
alexander-10	Fallstudie 2	case_study	P-6a right portrait rail	Case marker; narrative sections; portrait rail; solution sequence; result stats	Portrait evidence rail plus result strip	Named client; portrait; URL; metrics	Light very dense	Second proof peak	high	Client subtitle is too small for reliable transcription
alexander-11	Die neue Bewerberrealität 2026	theory	P-7b chart-driven theory	Editorial argument; compact chart; supporting comparison; conclusion	Applicant-reality chart	Comparative chart and source claims	Light dense	Generalizes case 2 through market behavior	high	Small chart labels require full-resolution verification
alexander-12	Fallstudie 3: Dres. Backhaus	case_study	P-6a right portrait rail	Case marker; narrative sections; portrait rail; solution sequence; results	Portrait evidence rail plus result strip	Named practice; portrait; URL; metrics	Light very dense	Third proof peak	high	None
alexander-13	Die Not-Hire-Ökonomie	theory	P-7d diagram theory	Concept essay; circular five-stage flow; icons; short annotations	Five-stage circular cost loop	Conceptual flow diagram	Light moderate	Makes the recurring loss mechanism memorable	high	Diagram causality is inferred from labels
alexander-14	Der Boss-Mechanismus	mechanism	P-8 numbered stages	Four numbered process sections; founder portrait rail; proof metrics; strict vertical rhythm	Four-step recruiting mechanism	Ordered process explanation; founder portrait; proof metrics	Light dense	Explains the offer's distinct mechanism	high	None
alexander-15	Was Sie bisher vom Handeln abgehalten hat	objections	P-9 objection conversion	Four objection cards; short rebuttals; restrained layout	Objection ladder	Reader objections and responses	Light moderate	Lowers perceived risk before the summary	high	None
alexander-16	Zusammenfassung und Fazit	summary	P-9 chart summary	Summary argument; 172,500 versus 296,500 comparison; four icon stats	Economic comparison dashboard	Comparison chart; four numeric indicators	Light dense	Consolidates financial urgency	high	Source values are observed, not independently verified
alexander-17	Wie die Zusammenarbeit abläuft	collaboration	P-10 step cards	Six navy step cards in two columns; numbered labels; concise bodies	Six-step engagement grid	Process commitments	Light moderate	Makes service delivery concrete	high	None
alexander-18	Kundenstimmen	trust_proof	P-11 review wall	Trustpilot header; multiple customer review cards; rating	Review wall	Trustpilot and customer reviews	Light moderate	Adds testimonial proof near the close	high	Review microcopy is not fully transcribed
alexander-19	Über 50 zufriedene Kunden	trust_proof	P-11 logo wall	Proof headline; multi-row practice logos; restrained supporting copy	Client logo wall	Practice logos	Light light	Broadens proof from stories to market adoption	high	Logo identities are not cataloged individually
alexander-20	Boss Recruiting CTA	cta	P-12 photo close	Full-bleed dental-assistant image; white promise; coral URL action	Contextual-photo conversion close	Industry photo; URL; brand mark	Photo dark	Final conversion stop	high	None
werkzeug-01	Werkzeugverluste im Handwerk	cover	P-1 full-bleed cover	Full-bleed founders or worksite image; coral promise; inclusion panel; checks	Contextual-photo offer cover	Founder or team photo; report promise	Photo hero	Hook and audience identification	high	Exact cover wording is condensed in this atlas
werkzeug-02	Ein kurzer Ausblick	outlook	P-2 editorial outlook	Long-form setup; named loss categories; target-reader framing; restrained rules	Text-led opening essay	Operational examples	Light dense	Frames the hidden-cost problem	high	None
werkzeug-03	Die Autoren	about	P-3 authority panel	Author portraits; company overview; navy panel; credibility logos; review proof	Dual-author authority panel	Portraits; media and rating logos	Light dense	Earns trust through expertise and recognition	high	Individual logo identities are not all cataloged
werkzeug-04	Sieht dein Alltag so aus?	status_quo	P-4 numbered scenarios	Seven numbered recognition scenarios; oversized coral numbers; editorial bodies	Seven-part recognition ladder	Concrete worksite situations	Light dense	Builds immediate self-recognition	high	None
werkzeug-05	Jeder Geschäftsführer weiß es	status_quo	P-4 magnitude dashboard	Argument body; coral market-law callout; three statistics; contextual photo	Stat-led problem escalation	Photo; loss statistics; market-law claim	Light dense	Raises the economic stakes after recognition	high	Statistics are source claims and not independently verified
werkzeug-06	Bezahlte Zeit ohne Ergebnis I	status_quo	Spread-level cost model	Editorial argument; contextual worker cutout; five labor inputs aligned at the foot	Contextual photo plus cost inputs	Worksite photo; labor inputs	Light dense	Sets up the spread-level cost equation	high	Meaning depends on the facing page
werkzeug-07	Bezahlte Zeit ohne Ergebnis II	status_quo	Spread-level cost model	Hourly labor-cost bar chart; derived 763,840 euro result; coral fact callout; supporting explanation	Bar chart and derived total	Chart; linked statistics; derived total	Light dense	Completes the spread-level cost argument	high	Cannot be evaluated as a standalone composition only
werkzeug-08	Du verlierst nicht nur große Maschinen	false_beliefs	P-5 beliefs setup	Editorial argument; loss categories; restrained visual rhythm	Text-led reframe	Operational examples	Light dense	Transitions from cost magnitude to belief correction	high	Role is a beliefs preface rather than a numbered belief list
werkzeug-09	Die 7 teuersten Denkfehler	false_beliefs	P-5 numbered beliefs	Seven numbered misconceptions; oversized quote marks; coral accents; dense text	Seven-part misconception list	Argument examples	Light very dense	Sustains objection pressure	high	None
werkzeug-10	Fallstudie 1: Dietrich	case_study	P-6b left evidence rail	Left photo and stamp rail; navy quote panel; QR and URL; right narrative sections	Left evidence rail plus quote panel	Named client; portrait; quote; QR; URL	Light very dense	First proof peak	high	None
werkzeug-11	Wann Ordnung wirklich entsteht	theory	P-7d matrix theory	Theory body; two-by-two matrix; effect callout; checks	Two-by-two operating model	Matrix and effect list	Light dense	Generalizes case 1 into operating conditions	high	Matrix labels are visually observed
werkzeug-12	Fallstudie 2: Lange Gerüstbau	case_study	P-6b left evidence rail	Left photo and stamp rail; navy quote panel; QR; narrative sections	Left evidence rail plus quote panel	Named client; portrait; quote; QR; URL	Light very dense	Second proof peak	high	None
werkzeug-13	Dein Name steht darunter	theory	P-7c responsibility argument	Editorial body; customer or founder image; four result callouts	Four-part consequence strip	Portrait; four operational outcomes	Light dense	Generalizes case 2 through accountability	high	None
werkzeug-14	Fallstudie 3: GEVA	case_study	P-6b left evidence rail	Left photo and stamp rail; navy quote panel; QR; narrative sections	Left evidence rail plus quote panel	Named client; portrait; quote; QR; URL	Light very dense	Third proof peak	high	None
werkzeug-15	Vier Einwände und Hast du noch Fragen?	objections	P-9 objection conversion	Four numbered objections; compact rebuttals; large coral question panel; QR	Objection stack plus dominant CTA	QR; URL; response arguments	Light dense	Moves directly from proof into conversion	high	None
werkzeug-16	Der Werkzeugfluss-Mechanismus	mechanism	P-8 numbered stages	Three numbered stages; icons; editorial explanation; contextual image	Three-stage operational flow	Process stages; contextual photo	Light dense	Explains the product's distinct mechanism	high	None
werkzeug-17	Warum Mitarbeiter es wirklich nutzen	mechanism	P-8 adoption theory	Behavioral argument; contextual image; coral checked-outcome panel; URL	Adoption model plus outcome checklist	Contextual photo; benefit checks	Light dense	Answers the adoption objection after the mechanism	high	None
werkzeug-18	Zusammenfassung und Fazit	summary	P-9 editorial summary	Summary argument; icon and check list; restrained layout	Text-led synthesis	Benefit checklist	Light dense	Consolidates the business case	high	None
werkzeug-19	Ablauf der Zusammenarbeit	collaboration	P-10 step cards	Five navy step cards; supporting image; URL action	Five-step engagement path	Process commitments; contextual photo; URL	Light moderate	Makes implementation concrete	high	None
werkzeug-20	Werkzeugkoffer CTA	cta	P-12 photo close	Full-bleed dark worksite image; white promise; coral URL button	Contextual-photo conversion close	Worksite photo; URL; brand mark	Photo dark	Final conversion stop	high	None
niklas-01	NMR Marketing Report	cover	P-1 full-bleed cover	Full-bleed construction portrait; report promise; checks; three proof stats; brand mark	Contextual-photo proof cover	Worker portrait; numeric proof; brand mark	Photo hero	Hook and audience identification	high	Exact cover headline is condensed in this atlas
niklas-02	Ein kurzer Ausblick	outlook	P-2a photo-bleed outlook	Full-bleed worksite photo; white editorial text; short check list	Photo-backed opening essay	Contextual industry photo; argument	Photo dark	Immersive framing and tonal contrast after cover	high	None
niklas-03	Über NMR Marketing	about	P-3 authority panel	Company narrative; founder or team photo; Trustpilot rating; stats; logo strip	Authority dashboard	Portrait; rating; statistics; logos	Light dense	Earns authority before diagnosis	high	Some logo identities are too small to name
niklas-04	Du arbeitest hart, aber niemand sieht es	status_quo	P-4 card grid	Six multicolor problem cards; icon or number cues; concise copy	Six-card recognition grid	Concrete visibility failures	Light moderate	Fast diagnostic scan and visual variety	high	None
niklas-05	Die Wahrheit	status_quo	P-4 magnitude scene	Dark ground; full-bleed photo on right; strong headline; two-stat bottom panel	Photo-led truth statement plus statistics	Industry photo; two metrics	Dark moderate	Raises urgency and resets cadence	high	Source statistics are not independently verified
niklas-06	Die 7 Denkfehler	false_beliefs	P-5 numbered beliefs	Seven large coral number circles; dense rebuttal text; compact grid	Seven-part misconception map	Argument examples	Light very dense	Sustains objection pressure	high	None
niklas-07	Sichtbarkeit ist Kontrolle	theory	P-7c product comparison	Theory body; app screenshot; numbered advantages and limitations	Interface proof plus structured comparison	Product screenshot; benefit analysis	Light dense	Introduces the operating principle before case evidence	high	Screenshot provenance is the client product
niklas-08	Fallstudie 1	case_study	P-6a right portrait rail	Oversized case number; narrative sections; portrait rail; three large result stats	Oversized chapter number plus evidence rail	Named client; portrait; three metrics	Light dense	First proof peak	high	Client name is too small for reliable transcription in this atlas
niklas-09	Zeitung versus Internet	theory	P-7c comparison	Side-by-side comparison chart; explanatory body; portrait pullquote	Channel comparison with testimonial	Comparison chart; portrait quote	Light moderate	Generalizes case 1 into channel economics	high	Chart values are source claims
niklas-10	Fallstudie 2	case_study	P-6a right portrait rail	Oversized case number; narrative sections; portrait rail; three large result stats	Oversized chapter number plus evidence rail	Named client; portrait; three metrics	Light dense	Second proof peak	high	Client name is too small for reliable transcription in this atlas
niklas-11	Unsichtbarer Vertrauensfilter	theory	P-7c before-after comparison	Theory body; two before-after metric bars; portrait pullquote	Before-after trust comparison	Comparison bars; portrait quote	Light dense	Generalizes case 2 through trust mechanics	high	Small metric labels require full-resolution confirmation
niklas-12	Fallstudie 3	case_study	P-6a right portrait rail	Oversized case number; narrative sections; portrait rail; three large result stats	Oversized chapter number plus evidence rail	Named client; portrait; three metrics	Light dense	Third proof peak	high	Client name is too small for reliable transcription in this atlas
niklas-13	Bessere Kunden bedeuten weniger Stress	theory	P-7c side-by-side comparison	Two-column comparison; editorial body; portrait pullquote; highlighted conclusion	Customer-quality comparison	Comparative criteria; portrait quote	Light dense	Generalizes case 3 into customer selection	high	None
niklas-14	Die NMR-Methode I	mechanism	P-8 numbered stages	Three numbered method cards; icons; contextual photo	First half of six-stage method	Process stages; contextual photo	Light moderate	Begins offer explanation after evidence	high	Meaning continues on the next face
niklas-15	Die NMR-Methode II	mechanism	P-8 numbered stages	Three more numbered method sections; icons; URL and QR action	Second half of six-stage method	Process stages; QR; URL	Light moderate	Completes method and introduces action	high	None
niklas-16	Fazit: Die Konsequenz	summary	P-9a dark divider summary	Dark photo or navy field; white conclusion; coral CTA panel; QR	High-contrast summary and action	Contextual image; QR; URL	Dark moderate	Major cadence reset and conversion entry	high	None
niklas-17	Hält dich das vom Handeln ab?	objections	P-9 objection conversion	Eight horizontal objection cards; coral numbers; short rebuttals	Eight-part objection ladder	Reader objections and responses	Light dense	Removes hesitation after the summary	high	None
niklas-18	So läuft die Zusammenarbeit ab	collaboration	P-10 step cards	Five navy process cards; numbered steps; QR and action line	Five-step engagement path	Process commitments; QR	Light moderate	Makes delivery concrete	high	None
niklas-19	Kunden und Projekte	trust_proof	P-11 logo wall	Full dark field; multi-row client logos; minimal copy	Client logo wall	Client logos	Dark light	Quiet proof pause before the final CTA	high	Individual logo provenance is not cataloged
niklas-20	NMR Marketing CTA	cta	P-12 solid close	Dark navy field; white promise; coral URL; QR; brand mark	High-contrast conversion close	QR; URL; brand mark	Dark light	Final conversion stop	high	None
aerzte-01	Ärztepartner Fallstudien Report	cover	P-1a portrait overlay cover	Doctor portrait on cream; report promise; right-side case panel; checks; brand mark	Portrait-led professional cover	Doctor portrait; report promise	Light hero	Hook and professional audience identification	high	Exact cover title is condensed in this atlas
aerzte-02	Die unbequeme Wahrheit	outlook	P-2 editorial outlook	Long-form framing; target-group bullets; restrained rules; generous margins	Text-led opening essay	Audience definition; argument	Light dense	Frames the financial-planning stakes	high	None
aerzte-03	Über uns	about	P-3 authority panel	Company overview; author bio in navy panel; portrait; key statistics; credibility strip	Founder or advisor authority panel	Portrait; credentials; key facts; logos	Light dense	Earns authority before diagnosis	high	Some credential microcopy is too small to transcribe
aerzte-04	Ärzte 2026	status_quo	P-4 numbered scenarios	Six numbered scenarios; compact editorial bodies; repeated number rhythm	Six-part recognition ladder	Concrete doctor-life situations	Light dense	Builds audience recognition	high	None
aerzte-05	Das eigentliche Problem	status_quo	P-4 diagram diagnosis	Problem argument; Vorsorge-Karussell diagram; year 10, 25, and 50 statistics	Circular system-gap diagram	Conceptual diagram; time-based figures	Light dense	Raises the structural magnitude of the problem	high	Source figures are not independently verified
aerzte-06	Die Systemlücke	false_beliefs	P-5 conceptual reframe	Long-form explanation; hourglass visual; restrained supporting copy	Hourglass system-gap metaphor	Hourglass illustration; argument	Light moderate	Bridges diagnosis into belief correction	high	Illustration provenance is unknown
aerzte-07	Die 5 größten Denkfehler	false_beliefs	P-5 belief cards	Five navy misconception cards; white text; strict vertical rhythm	Five-card misconception stack	Argument examples	Light dense	Challenges current planning beliefs	high	None
aerzte-08	Fallstudie 1: Ordination	case_study	P-6a right portrait rail	Coral case kicker; long claim headline; body sections; doctor portrait; navy quote rail	Doctor portrait and quote rail	Named doctor or practice; portrait; quote	Light dense	First proof peak	high	Client detail text is small
aerzte-09	Realitätscheck	theory	P-7a numbered insights	Eight navy cards; concise claims; dense grid	Eight-part reality-check grid	Conceptual and operational claims	Light dense	Generalizes case 1 into a diagnostic checklist	high	None
aerzte-10	Fallstudie 2	case_study	P-6a right portrait rail	Coral case kicker; claim headline; body sections; doctor portrait; navy quote rail	Doctor portrait and quote rail	Named doctor or practice; portrait; quote	Light dense	Second proof peak	high	Client name is not transcribed here
aerzte-11	Was, wenn Sie ausfallen?	theory	P-7d consequence diagram	Editorial argument; consequence diagram; icons; labeled branches	Failure-consequence map	Conceptual diagram; scenario claims	Light moderate	Generalizes case 2 through downside risk	high	Small labels require full-resolution verification
aerzte-12	Fallstudie 3: Urologe	case_study	P-6a right portrait rail	Coral case kicker; long claim headline; body sections; doctor portrait; navy quote rail	Doctor portrait and quote rail	Named doctor; portrait; quote	Light dense	Third proof peak	high	None
aerzte-13	Der Weg aus dem Vorsorge-Karussell	mechanism	P-8 numbered stages	Five navy process cards; concise descriptions; regular stack	Five-step planning path	Ordered process explanation	Light moderate	Turns case evidence into a repeatable method	high	None
aerzte-14	Die einfache Mathematik I	theory	P-7b chart sequence	Large headline; explanatory setup; first portion of a spread-level quantitative model	Quantitative chapter opener	Financial-planning claims	Light moderate	Introduces the economic proof section	high	Meaning depends on the facing page
aerzte-15	Die einfache Mathematik II	theory	P-7b chart sequence	Four-quadrant chart grid; time, net-income, and system comparisons; icons	Four-part quantitative dashboard	Charts; financial claims; icons	Light dense	Completes the economic model with scannable proof	high	Values are source claims and not independently verified
aerzte-16	Zusammenfassung und Fazit	summary	P-9 editorial summary	Long-form synthesis; portrait; mid-page pullquote panel; restrained rules	Portrait-supported conclusion	Portrait; pullquote	Light dense	Consolidates the advisory argument	high	None
aerzte-17	Was Sie bisher vom Handeln abgehalten hat	objections	P-9 objection conversion	Four navy objection cards; concise rebuttals; strict vertical rhythm	Four-part objection stack	Reader objections and responses	Light moderate	Removes hesitation before engagement details	high	None
aerzte-18	So läuft die Zusammenarbeit ab	collaboration	P-10 step cards	Five navy process cards; numbered labels; concise bodies	Five-step engagement path	Process commitments	Light moderate	Makes delivery concrete	high	None
aerzte-19	Über 150 zufriedene Kunden	trust_proof	P-11 review wall	Trustpilot or review headline; five customer review cards; URL action	Review wall	Customer reviews; rating; URL	Light moderate	Final social proof before CTA	high	Review microcopy is not fully transcribed
aerzte-20	Ärztepartner CTA	cta	P-12a light close	Large centered closing statement; restrained brand header; dark URL bar; ample negative space	Editorial statement conversion close	URL; brand mark	Light light	Final conversion stop	high	Exact final CTA wording is not transcribed
